date,day_of_week,recommended_price,min_price,max_price,confidence,competitor_count,data_type,1_night_total,3_nights_total,3_nights_discount,7_nights_total,7_nights_discount,14_nights_total,14_nights_discount
2026-01-01,Thursday,£140,£119,£161,low,0,interpolated,£140,£399,5%,£882,10%,£1666,15%
2026-01-02,Friday,£161,£137,£185,low,0,interpolated,£161,£459,5%,£1014,10%,£1916,15%
2026-01-03,Saturday,£168,£143,£193,low,0,interpolated,£168,£479,5%,£1058,10%,£1999,15%
2026-01-04,Sunday,£149,£127,£171,low,0,interpolated,£149,£425,5%,£939,10%,£1773,15%
2026-01-05,Monday,£157,£133,£181,low,0,interpolated,£157,£447,5%,£989,10%,£1868,15%
2026-01-06,Tuesday,£157,£133,£181,low,0,interpolated,£157,£447,5%,£989,10%,£1868,15%
2026-01-07,Wednesday,£157,£133,£181,low,0,interpolated,£157,£447,5%,£989,10%,£1868,15%
2026-01-08,Thursday,£165,£140,£190,low,0,interpolated,£165,£470,5%,£1040,10%,£1964,15%
2026-01-09,Friday,£190,£162,£218,low,0,interpolated,£190,£542,5%,£1197,10%,£2261,15%
2026-01-10,Saturday,£198,£168,£228,low,0,interpolated,£198,£564,5%,£1247,10%,£2356,15%
2026-01-11,Sunday,£157,£133,£181,low,0,interpolated,£157,£447,5%,£989,10%,£1868,15%
2026-01-12,Monday,£165,£140,£190,low,0,interpolated,£165,£470,5%,£1040,10%,£1964,15%
2026-01-13,Tuesday,£165,£140,£190,low,0,interpolated,£165,£470,5%,£1040,10%,£1964,15%
2026-01-14,Wednesday,£165,£140,£190,low,0,interpolated,£165,£470,5%,£1040,10%,£1964,15%
2026-01-15,Thursday,£194,£165,£223,low,3,real,£194,£553,5%,£1222,10%,£2309,15%
2026-01-16,Friday,£150,£128,£172,low,0,interpolated,£150,£428,5%,£945,10%,£1785,15%
2026-01-17,Saturday,£157,£133,£181,low,0,interpolated,£157,£447,5%,£989,10%,£1868,15%
2026-01-18,Sunday,£124,£105,£143,low,0,interpolated,£124,£353,5%,£781,10%,£1476,15%
2026-01-19,Monday,£113,£96,£130,high,12,real,£113,£322,5%,£712,10%,£1345,15%
2026-01-20,Tuesday,£104,£88,£120,low,0,interpolated,£104,£296,5%,£655,10%,£1238,15%
2026-01-21,Wednesday,£104,£88,£120,low,0,interpolated,£104,£296,5%,£655,10%,£1238,15%
2026-01-22,Thursday,£104,£88,£120,low,0,interpolated,£104,£296,5%,£655,10%,£1238,15%
2026-01-23,Friday,£120,£102,£138,low,0,interpolated,£120,£342,5%,£756,10%,£1428,15%
2026-01-24,Saturday,£125,£106,£144,low,0,interpolated,£125,£356,5%,£788,10%,£1488,15%
2026-01-25,Sunday,£99,£84,£114,low,0,interpolated,£99,£282,5%,£624,10%,£1178,15%
2026-01-26,Monday,£104,£88,£120,low,0,interpolated,£104,£296,5%,£655,10%,£1238,15%
2026-01-27,Tuesday,£104,£88,£120,low,0,interpolated,£104,£296,5%,£655,10%,£1238,15%
2026-01-28,Wednesday,£104,£88,£120,low,0,interpolated,£104,£296,5%,£655,10%,£1238,15%
2026-01-29,Thursday,£104,£88,£120,low,0,interpolated,£104,£296,5%,£655,10%,£1238,15%
2026-01-30,Friday,£120,£102,£138,low,0,interpolated,£120,£342,5%,£756,10%,£1428,15%
2026-01-31,Saturday,£125,£106,£144,low,0,interpolated,£125,£356,5%,£788,10%,£1488,15%
2026-02-01,Sunday,£99,£84,£114,low,0,interpolated,£99,£282,5%,£624,10%,£1178,15%
2026-02-02,Monday,£132,£112,£152,low,1,real,£132,£376,5%,£832,10%,£1571,15%
2026-02-03,Tuesday,£116,£99,£133,low,0,interpolated,£116,£331,5%,£731,10%,£1380,15%
2026-02-04,Wednesday,£116,£99,£133,low,0,interpolated,£116,£331,5%,£731,10%,£1380,15%
2026-02-05,Thursday,£116,£99,£133,low,0,interpolated,£116,£331,5%,£731,10%,£1380,15%
2026-02-06,Friday,£134,£114,£154,low,0,interpolated,£134,£382,5%,£844,10%,£1595,15%
2026-02-07,Saturday,£140,£119,£161,low,0,interpolated,£140,£399,5%,£882,10%,£1666,15%
2026-02-08,Sunday,£111,£94,£128,low,0,interpolated,£111,£316,5%,£699,10%,£1321,15%
2026-02-09,Monday,£142,£121,£163,low,1,real,£142,£405,5%,£895,10%,£1690,15%
2026-02-10,Tuesday,£159,£135,£183,low,0,interpolated,£159,£453,5%,£1002,10%,£1892,15%
2026-02-11,Wednesday,£159,£135,£183,low,0,interpolated,£159,£453,5%,£1002,10%,£1892,15%
2026-02-12,Thursday,£159,£135,£183,low,0,interpolated,£159,£453,5%,£1002,10%,£1892,15%
2026-02-13,Friday,£183,£156,£210,low,0,interpolated,£183,£522,5%,£1153,10%,£2178,15%
2026-02-14,Saturday,£233,£198,£268,low,3,real,£233,£664,5%,£1468,10%,£2773,15%
2026-02-15,Sunday,£182,£155,£209,low,0,interpolated,£182,£519,5%,£1147,10%,£2166,15%
2026-02-16,Monday,£191,£162,£220,low,0,interpolated,£191,£544,5%,£1203,10%,£2273,15%
2026-02-17,Tuesday,£191,£162,£220,low,0,interpolated,£191,£544,5%,£1203,10%,£2273,15%
2026-02-18,Wednesday,£191,£162,£220,low,0,interpolated,£191,£544,5%,£1203,10%,£2273,15%
